profiling binary stats to c:/leo.repo/leo-editor/leoProfile

reading settings in C:/leo.repo/leo-editor/leo/config/leoSettings.leo

===== FAST (leoAtFile) ===== 


===== FAST (leoFileCommands) ===== 

reading settings in C:/Users/edreamleo/.leo/myLeoSettings.leo
reading settings in c:/leo.repo/leo-editor/leo/core/leoPy.leo
reading settings in C:/leo.repo/leo-editor/leo/themes/EKRDark.leo

Leo 5.7.4 devel, build 20180525162844, Fri May 25 16:28:44 CDT 2018
Git repo info: branch = fast-read, commit = 7ae56de86066
Python 3.6.3, PyQt version 5.6.2
Windows 10 AMD64 (build 10.0.17134) SP0
** isPython3: True
** caching enabled

reading settings in c:/leo.repo/leo-editor/leo/core/leoPy.leo
readExternalFiles 1.401 sec.
wrote recent file: C:/Users/edreamleo/.leo/.leoRecentFiles.txt
Wed Jun  6 18:42:07 2018    c:/leo.repo/leo-editor/leoProfile

         11685846 function calls (11653798 primitive calls) in 8.145 seconds

   Ordered by: internal time
   List reduced from 6049 to 200 due to restriction <200>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    1.129    1.129    1.305    1.305 {built-in method exec_}
      584    1.025    0.002    1.025    0.002 {built-in method __new__ of type object at 0x00000000664AB3F0}
     6775    0.219    0.000    0.219    0.000 {built-in method nt.stat}
   145181    0.208    0.000    0.422    0.000 spellCommands.py:243(add_expanded_line)
      165    0.162    0.001    0.333    0.002 leoAtFile.py:5163(scan_lines)
   521491    0.138    0.000    0.188    0.000 leoGlobals.py:5551(isUnicode)
   212321    0.135    0.000    0.243    0.000 leoGlobals.py:4530(match_word)
    35564    0.131    0.000    0.260    0.000 ntpath.py:471(normpath)
 1829/448    0.119    0.000    0.230    0.001 sre_parse.py:470(_parse)
   585766    0.119    0.000    0.119    0.000 {method 'find' of 'str' objects}
   204403    0.104    0.000    0.104    0.000 leoNodes.py:198(__init__)
   355472    0.095    0.000    0.229    0.000 leoGlobals.py:5628(toUnicode)
    11373    0.095    0.000    0.095    0.000 leoGlobals.py:2961(<listcomp>)
   204235    0.094    0.000    0.198    0.000 leoNodes.py:1338(copy)
   679649    0.093    0.000    0.093    0.000 {method 'add' of 'set' objects}
    10435    0.093    0.000    0.397    0.000 leoGlobals.py:4494(is_special)
    11373    0.091    0.000    0.302    0.000 leoGlobals.py:2911(get_directives_dict)
   106781    0.091    0.000    0.311    0.000 leoNodes.py:1203(moveToThreadNext)
1236269/1234836    0.089    0.000    0.089    0.000 {built-in method builtins.len}
      691    0.088    0.000    0.088    0.000 {built-in method marshal.loads}
     5428    0.087    0.000    0.087    0.000 {built-in method winreg.OpenKey}
   132602    0.082    0.000    0.214    0.000 leoNodes.py:2228(headString)
776730/776729    0.082    0.000    0.082    0.000 {built-in method builtins.isinstance}
    72681    0.079    0.000    0.367    0.000 leoCommands.py:812(all_unique_positions)
